pronouns
আমি
আমরা
আপনি
তিনি
সে
এটা
তারা
আমাকে
আমাদের
তার
তাকে
তাদের
যেমন
যে
এইগুলো
এই
সেগুলো
আমার
আমাদের
তোমার
কি
যা
কে
যার
উভয়
প্রতিটি
সব
যেকোনো
কিছু
অনেক
সর্বাধিক
অন্য
অন্যান্য
বেশ কিছু 
কিছু
যে কেউ 
সবাই
সবকিছু
কেউ
নিজেকে
নিজেই
নিজেদেরকে
নিজেদের
